"","country","week","meanflu","meantemp","meanRH","meanAH","varflu","vartemp","day"
"146","Austria",42,0,7.43827160493827,0.819714333333333,6.62960911111111,0,5.585219478738,290.5
"147","Austria",43,0,7.58333333333333,0.819571666666667,6.73514233333333,0,10.211612654321,297.5
"148","Austria",44,0,5.59413580246914,0.821221111111111,5.87282333333333,0,6.0495649005487,304.5
"149","Austria",45,6.87777777777778e-05,4.82098765432099,0.846876888888889,5.72509422222222,2.77939444444444e-08,3.57081618655693,311.5
"150","Austria",46,0,3.59375,0.85274625,5.359891375,0,8.10139715608465,318.5
"151","Austria",47,1.36666666666667e-05,1.81172839506173,0.874149555555556,4.87965066666667,1.681e-09,9.06747256515775,325.5
"152","Austria",48,9.55555555555556e-05,1.37654320987654,0.850847555555556,4.63670088888889,8.21777777777778e-08,8.24269118655693,332.5
"153","Austria",49,0.000134555555555556,-0.433641975308642,0.837793888888889,3.95731822222222,6.50510277777778e-08,3.45735811042524,339.5
"154","Austria",50,0.0002445,-1.16805555555556,0.8248365,3.7729555,3.31410055555556e-07,8.77033822016461,346.5
"155","Austria",51,0.0002392,-1.50277777777778,0.8504602,3.7598269,1.14360844444444e-07,3.72915809327846,353.5
"156","Austria",52,0.0004969,-1.03333333333333,0.8304801,3.8061275,5.18271877777778e-07,4.90930212620027,360.5
"157","Belarus",1,0.000145,-4.01736111111111,0.849651,3.303327875,1.682e-07,24.8494130291005,3.5
"158","Belarus",2,0.000557714285714286,-3.10912698412698,0.865997,3.54698242857143,1.45650557142857e-06,22.4867816725456,10.5
"159","Belarus",3,0.000783714285714286,-2.81746031746032,0.862591285714286,3.528949,3.5743729047619e-06,13.9235743680188,17.5
"160","Belarus",4,0.00171842857142857,-4.26587301587302,0.824977571428571,3.18215171428571,1.2646227952381e-05,31.4613830099941,24.5
"161","Belarus",5,0.00259044444444444,-5.23765432098765,0.783506333333333,2.904207,3.68137265277778e-05,47.3794581618656,31.5
"162","Belarus",6,0.0024488,-3.10277777777778,0.8344553,3.5932934,2.93335788444444e-05,46.0332733196159,38.5
"163","Belarus",7,0.00338777777777778,-6.10185185185185,0.778062222222222,2.64693122222222,5.20864321944444e-05,40.0478395061728,45.5
"164","Belarus",8,0.00227918181818182,-3.82575757575758,0.803949363636364,3.23212536363636,3.76444053636364e-05,32.5512485970819,52.5
"165","Belarus",9,0.00177936363636364,-2.85858585858586,0.803255181818182,3.35734827272727,1.20335254545455e-05,20.5050084175084,59.5
"166","Belarus",10,0.00184842857142857,-1.91269841269841,0.734958571428571,3.24747771428571,1.24496022857143e-05,15.2856040564374,66.5
"167","Belarus",11,0.00100018181818182,0.353535353535353,0.759950818181818,3.86361854545455,2.84495416363636e-06,12.7126683501684,73.5
"168","Belarus",12,0.00103785714285714,-0.777777777777778,0.686322571428571,3.35718942857143,1.00358447619048e-06,30.1977880658436,80.5
"169","Belarus",13,0.000528,1.18518518518519,0.6476185,3.48256566666667,3.658324e-07,10.7931069958848,87.5
"170","Belarus",14,0.0013425,3.11111111111111,0.72665475,4.39144825,2.38616666666667e-08,7.87242798353909,94.5
"171","Belarus",15,0.000633666666666667,6.40277777777778,0.723735666666667,5.37660316666667,6.07090666666667e-07,10.0665895061728,101.5
"172","Belarus",16,0.001162,9.85185185185185,0.614781,5.76118166666667,5.36787e-07,1.06584362139918,108.5
"173","Belarus",17,0.000169,12.3222222222222,0.5684394,6.2427184,7.5918e-08,2.90648148148148,115.5
"174","Belarus",18,0.000246666666666667,12.2222222222222,0.658060666666667,7.10563433333333,4.84423333333333e-08,17.1327160493827,122.5
"175","Belarus",19,0.000246666666666667,16.712962962963,0.633446333333333,8.885144,4.84423333333333e-08,7.91692386831277,129.5
"176","Belarus",20,7.06666666666667e-05,14.6296296296296,0.770072666666667,9.81361133333333,3.74533333333333e-09,20.8713991769547,136.5
"177","Belarus",21,0,17.6388888888889,0.607761,9.156118,0,3.125,143.5
"178","Belarus",22,0,16.75,0.661724,9.5695945,0,15.7422839506173,150.5
"179","Belarus",23,0,17.6666666666667,0.677883,10.0301025,0,34.7222222222222,157.5
"180","Belarus",24,0,17.6388888888889,0.7377685,11.062152,0,0.260802469135804,164.5
"181","Belarus",25,5.3e-05,18.5555555555556,0.745979,11.8477775,5.618e-09,0.617283950617283,171.5
"182","Belarus",26,0,16.3055555555556,0.809002,11.263713,0,3.26543209876543,178.5
"183","Belarus",27,0,20.7222222222222,0.773641,13.9228075,0,8,185.5
"184","Belarus",28,0,21.4861111111111,0.76588,14.4362195,0,1.83680555555556,192.5
"185","Belarus",29,0,18.9097222222222,0.794401,13.045594,0,27.6065779320987,199.5
"186","Belarus",30,0,19.8888888888889,0.7429445,12.761462,0,0.0756172839506174,206.5
"187","Belarus",31,0,19.3194444444444,0.7155845,11.999819,0,8.11149691358025,213.5
"188","Belarus",32,0,17.8888888888889,0.7078965,10.788715,0,0.18672839506173,220.5
"189","Belarus",33,0,17.4236111111111,0.846939,12.5062255,0,5.98003472222221,227.5
"190","Belarus",34,0,17.0972222222222,0.8032785,11.683516,0,0.00347222222222212,234.5
"191","Belarus",35,0,15.7083333333333,0.7539175,10.0449405,0,3.63001543209877,241.5
"192","Belarus",36,0,13.7777777777778,0.8216145,9.769324,0,0,248.5
"193","Belarus",37,0,13.0277777777778,0.78131,8.869662,0,0.445987654320984,255.5
"194","Belarus",38,0,12.3055555555556,0.860387,9.339114,NA,NA,262.5
"195","Belarus",39,0,12.2048611111111,0.842474,9.140049,0,1.94307806069959,269.5
"196","Belarus",40,7.03333333333333e-05,8.64351851851852,0.7861275,7.08075183333333,1.18722666666667e-08,27.2145576131687,276.5
"197","Belarus",41,0,7.89583333333333,0.883205166666667,7.27190083333333,0,2.16741898148148,283.5
"198","Belarus",42,0,6.39236111111111,0.8235345,6.2360525,0,6.83981159979424,290.5
"199","Belarus",43,0,5.4484126984127,0.828182714285714,5.95205057142857,0,10.5219723691946,297.5
"200","Belarus",44,8.16666666666667e-05,5.48302469135803,0.874224111111111,6.17192088888889,4.34875e-08,5.9647848079561,304.5
"201","Belarus",45,0.000116666666666667,3.02469135802469,0.864575777777778,5.261068,1.225e-07,8.12797925240055,311.5
"202","Belarus",46,0,0.777777777777777,0.870681571428571,4.61761357142857,0,18.0771604938272,318.5
"203","Belarus",47,0,-0.920634920634921,0.907455428571429,4.52442014285714,0,45.4450690770135,325.5
"204","Belarus",48,0.0001786,-0.808333333333333,0.8957862,4.3308815,3.189796e-07,25.7070387517147,332.5
"205","Belarus",49,0.0001787,-2.99722222222222,0.8542288,3.6120829,2.45440011111111e-07,31.0122513717421,339.5
"206","Belarus",50,0.0002523,-3.96944444444444,0.8721814,3.3144928,4.32082233333333e-07,14.5336848422497,346.5
"207","Belarus",51,7.03333333333333e-05,-4.95833333333333,0.827162,3.01946583333333,2.96806666666667e-08,27.2523919753086,353.5
"208","Belarus",52,0.0001688,-1.53055555555556,0.8550578,3.785868,1.424672e-07,8.19429012345679,360.5
"209","Belgium",1,0.0028777,2.99305555555556,0.8740729,5.4465153,4.96900756666667e-06,27.9328382201646,3.5
"210","Belgium",2,0.00425136363636364,3.54040404040404,0.859976454545455,5.43231981818182,2.00227654545455e-05,15.9335437710438,10.5
"211","Belgium",3,0.005009,3.79292929292929,0.850151454545455,5.44607336363636,1.8350754e-05,13.1384820426487,17.5
"212","Belgium",4,0.00432545454545455,3.35858585858586,0.873586818181818,5.44087745454545,1.75359862727273e-05,11.9911195286195,24.5
"213","Belgium",5,0.004905,2.65656565656566,0.833942909090909,5.02309009090909,1.35018276e-05,18.354980359147,31.5
"214","Belgium",6,0.00411754545454545,3.85606060606061,0.803467,5.32551590909091,1.04595006727273e-05,23.7924102132436,38.5
"215","Belgium",7,0.00367963636363636,3.45328282828283,0.822257272727273,5.130595,9.68019285454545e-06,11.5541771885522,45.5
"216","Belgium",8,0.00328536363636364,4.71085858585859,0.825852272727273,5.61972509090909,1.19059984545455e-05,12.005201318743,52.5
"217","Belgium",9,0.00359381818181818,5.05808080808081,0.81449,5.67621336363636,1.09539495636364e-05,12.8375701459035,59.5
"218","Belgium",10,0.00223636363636364,5.97474747474747,0.767233181818182,5.64647718181818,6.59103585454545e-06,8.49636644219978,66.5
"219","Belgium",11,0.00175281818181818,7.5,0.795441272727273,6.46635672727273,4.98476776363636e-06,6.32484567901235,73.5
"220","Belgium",12,0.00104488888888889,7.52777777777778,0.771527,6.27371644444444,1.62771761111111e-06,12.9158950617284,80.5
"221","Belgium",13,0.000738714285714286,7.30555555555556,0.726586285714286,5.82090142857143,8.01756571428571e-07,10.4596193415638,87.5
"222","Belgium",14,0.000484142857142857,8.15476190476191,0.712364285714286,6.01763042857143,4.24156809523809e-07,8.70058054085832,94.5
"223","Belgium",15,0.000172125,7.86458333333333,0.751902,6.16188875,4.74918392857143e-08,2.5241264329806,101.5
"224","Belgium",16,0.000144571428571429,8.67460317460317,0.698927857142857,5.96184514285714,1.93672857142857e-08,11.6195252792475,108.5
"225","Belgium",17,7.71666666666667e-05,11.3055555555556,0.751336,7.6139,1.19593666666667e-08,6.22283950617284,115.5
